Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
South Dakota,2019,6,2/9/2019,149,135,,22,,,11,,,,,38,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,7,2/16/2019,182,166,,45,,14,10,,,,,36,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,8,2/23/2019,157,148,,30,,,,,,,,40,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,9,3/2/2019,162,150,,25,10,16,,,,,,44,11,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2019,10,3/9/2019,176,161,,34,,16,,15,,,0,34,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2019,11,3/16/2019,177,166,,37,,10,,12,,,,38,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2019,12,3/23/2019,162,150,,32,,,,10,,,,38,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2019,13,3/30/2019,142,132,,30,,,,,,,0,32,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,14,4/6/2019,167,151,,34,,,0,13,,,,38,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,15,4/13/2019,157,146,,30,,,,,,,,37,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,16,4/20/2019,187,176,,40,,10,,19,,,,43,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,17,4/27/2019,149,140,,26,,,,15,,,,27,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,18,5/4/2019,184,172,,44,,13,,13,,,0,40,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2019,19,5/11/2019,165,153,,36,,11,,,,,,42,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,20,5/18/2019,133,123,,28,,10,,,0,0,0,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
South Dakota,2019,21,5/25/2019,175,159,,42,,,,,,,,29,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,22,6/1/2019,152,145,,32,,,,13,0,,0,34,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,23,6/8/2019,149,137,0,34,,,,,,0,0,44,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
South Dakota,2019,24,6/15/2019,154,131,0,35,,,0,,,0,,36,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,25,6/22/2019,152,132,0,25,,11,,,0,,,37,10,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2019,26,6/29/2019,163,148,,34,,,,,,,,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,27,7/6/2019,151,141,,32,,10,,,,,0,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,28,7/13/2019,152,141,,29,,11,,,,,0,42,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2019,29,7/20/2019,130,112,0,23,,,,11,,,,34,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,30,7/27/2019,146,129,,37,,13,0,,,,0,28,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,31,8/3/2019,171,158,,34,,10,,13,0,,0,43,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,32,8/10/2019,160,137,,43,,,,,,0,0,36,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
South Dakota,2019,33,8/17/2019,154,134,,30,,,,12,,,0,32,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,34,8/24/2019,176,160,,43,,,,,,,,29,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,35,8/31/2019,158,141,0,37,,10,,,,,0,32,14,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2019,36,9/7/2019,166,148,,39,,,,10,,,,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,37,9/14/2019,139,122,,29,,,,,,,0,32,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,38,9/21/2019,166,145,,27,,10,,10,,0,,37,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,39,9/28/2019,164,146,,37,,,,15,0,,,35,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2019,40,10/5/2019,162,149,,29,,10,,,,,0,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,41,10/12/2019,148,129,,28,,13,,,,0,,34,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,42,10/19/2019,166,152,,37,10,15,,,,,,29,10,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2019,43,10/26/2019,164,145,,31,,10,,17,,,,26,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,44,11/2/2019,169,146,,38,10,13,,12,,,0,26,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,45,11/9/2019,174,147,,32,,12,,12,,,0,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,46,11/16/2019,184,163,,37,,,,,,0,0,49,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
South Dakota,2019,47,11/23/2019,175,155,,35,,17,,,,,0,41,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,48,11/30/2019,146,126,,29,,,,,,0,,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,49,12/7/2019,172,158,,35,,10,,14,,,0,36,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,50,12/14/2019,151,144,,34,,12,,,0,0,0,38,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
South Dakota,2019,51,12/21/2019,151,138,,29,,11,,15,,,0,28,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,52,12/28/2019,155,146,,37,,,,12,,0,0,36,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
South Dakota,2020,1,1/4/2020,169,145,,38,,,,,,,0,39,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,2,1/11/2020,169,157,0,38,,,,13,,,0,33,11,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,3,1/18/2020,168,155,0,30,,12,,,0,0,0,44,,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
South Dakota,2020,4,1/25/2020,150,142,,32,,15,,,,,0,29,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,5,2/1/2020,162,152,,39,,11,,,,,,41,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,6,2/8/2020,150,143,,41,,,,10,,,0,25,19,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,7,2/15/2020,177,165,,38,,12,,13,,,0,36,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2020,8,2/22/2020,176,158,,35,12,15,,12,,,,36,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2020,9,2/29/2020,163,149,,32,,,,12,,,,33,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2020,10,3/7/2020,194,182,,50,,13,,17,,0,0,41,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
South Dakota,2020,11,3/14/2020,166,155,,35,10,10,,10,,,0,42,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,12,3/21/2020,161,152,,28,,,,14,,,0,26,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,13,3/28/2020,147,140,,36,,,,10,,0,,27,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,14,4/4/2020,169,153,,39,,,0,10,0,0,,34,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,15,4/11/2020,148,137,,26,,11,,,,,0,41,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,16,4/18/2020,152,140,,31,,,,,,,0,26,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,17,4/25/2020,173,157,,36,,14,,,,0,0,35,10,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,18,5/2/2020,155,143,,32,,,,,,0,0,26,,16,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
South Dakota,2020,19,5/9/2020,172,154,,33,,,,17,0,0,0,32,10,15,15,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,
South Dakota,2020,20,5/16/2020,140,131,,26,,,,,0,,0,39,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,21,5/23/2020,146,138,,26,,10,,,,,0,32,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,22,5/30/2020,131,127,,38,,,0,,0,0,0,24,,10,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
South Dakota,2020,23,6/6/2020,92,87,0,22,,,,,0,0,,21,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,24,6/13/2020,34,33,0,,,,,,0,0,0,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Tennessee,2019,1,1/5/2019,"1,575","1,432",18,292,53,61,42,117,19,24,16,358,87,0,0,,,,,,,,,,,,,,,
Tennessee,2019,2,1/12/2019,"1,489","1,359",21,301,33,74,31,110,32,28,16,355,67,0,0,,,,,,,,,,,,,,,
Tennessee,2019,3,1/19/2019,"1,486","1,357",15,296,35,68,33,88,25,22,16,348,70,0,0,,,,,,,,,,,,,,,
Tennessee,2019,4,1/26/2019,"1,482","1,324",16,291,47,66,28,83,22,26,13,323,67,0,0,,,,,,,,,,,,,,,
Tennessee,2019,5,2/2/2019,"1,488","1,368",27,298,53,75,45,87,17,18,21,312,81,0,0,,,,,,,,,,,,,,,
Tennessee,2019,6,2/9/2019,"1,544","1,410",21,315,49,74,42,97,21,22,15,369,57,0,0,,,,,,,,,,,,,,,
Tennessee,2019,7,2/16/2019,"1,547","1,437",19,296,49,78,45,110,24,17,12,370,78,0,0,,,,,,,,,,,,,,,
Tennessee,2019,8,2/23/2019,"1,540","1,432",19,301,44,77,30,108,18,19,22,381,80,0,0,,,,,,,,,,,,,,,
Tennessee,2019,9,3/2/2019,"1,500","1,356",19,300,38,52,37,122,14,28,14,354,69,0,0,,,,,,,,,,,,,,,
Tennessee,2019,10,3/9/2019,"1,481","1,350",12,295,43,59,29,100,17,25,10,386,102,0,0,,,,,,,,,,,,,,,
Tennessee,2019,11,3/16/2019,"1,449","1,319",15,276,36,66,32,101,24,17,20,343,93,0,0,,,,,,,,,,,,,,,
Tennessee,2019,12,3/23/2019,"1,471","1,354",23,301,37,74,36,102,17,24,17,350,81,0,0,,,,,,,,,,,,,,,
Tennessee,2019,13,3/30/2019,"1,479","1,337",26,304,36,48,35,97,20,22,20,339,66,0,0,,,,,,,,,,,,,,,
Tennessee,2019,14,4/6/2019,"1,561","1,405",20,301,46,67,30,102,26,16,14,377,73,0,0,,,,,,,,,,,,,,,
Tennessee,2019,15,4/13/2019,"1,494","1,345",10,288,46,50,36,91,28,26,16,354,79,0,0,,,,,,,,,,,,,,,
Tennessee,2019,16,4/20/2019,"1,458","1,314",18,298,34,66,32,106,22,31,19,323,70,0,0,,,,,,,,,,,,,,,
Tennessee,2019,17,4/27/2019,"1,518","1,381",22,277,47,53,27,96,30,12,22,377,91,0,0,,,,,,,,,,,,,,,
Tennessee,2019,18,5/4/2019,"1,402","1,269",17,273,42,73,20,81,16,15,16,340,66,0,0,,,,,,,,,,,,,,,
Tennessee,2019,19,5/11/2019,"1,416","1,278",22,294,43,57,26,101,25,19,19,335,63,0,0,,,,,,,,,,,,,,,
Tennessee,2019,20,5/18/2019,"1,441","1,288",22,273,47,66,28,88,19,20,12,332,76,0,0,,,,,,,,,,,,,,,
Tennessee,2019,21,5/25/2019,"1,486","1,337",19,301,51,49,21,92,25,15,14,351,67,0,0,,,,,,,,,,,,,,,
Tennessee,2019,22,6/1/2019,"1,461","1,308",24,318,38,63,30,101,21,34,12,310,63,0,0,,,,,,,,,,,,,,,
Tennessee,2019,23,6/8/2019,"1,446","1,290",15,294,45,52,25,78,21,10,11,340,62,0,0,,,,,,,,,,,,,,,
Tennessee,2019,24,6/15/2019,"1,419","1,255",15,302,37,57,13,86,15,26,20,330,58,0,0,,,,,,,,,,,,,,,
Tennessee,2019,25,6/22/2019,"1,369","1,229",13,277,39,60,24,69,16,15,17,300,78,0,0,,,,,,,,,,,,,,,
Tennessee,2019,26,6/29/2019,"1,407","1,267",11,307,40,54,23,93,20,27,17,319,67,0,0,,,,,,,,,,,,,,,
Tennessee,2019,27,7/6/2019,"1,451","1,288",17,285,40,62,24,71,14,25,26,335,87,0,0,,,,,,,,,,,,,,,
Tennessee,2019,28,7/13/2019,"1,317","1,164",18,270,42,47,15,83,15,19,15,286,62,0,0,,,,,,,,,,,,,,,
Tennessee,2019,29,7/20/2019,"1,350","1,195",11,267,37,51,27,69,17,15,14,335,58,0,0,,,,,,,,,,,,,,,
Tennessee,2019,30,7/27/2019,"1,347","1,208",13,269,39,57,20,93,21,22,15,300,74,0,0,,,,,,,,,,,,,,,
Tennessee,2019,31,8/3/2019,"1,388","1,246",10,287,48,61,18,81,22,19,,310,78,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Tennessee,2019,32,8/10/2019,"1,370","1,231",,278,45,63,24,80,18,24,14,313,73,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Tennessee,2019,33,8/17/2019,"1,345","1,209",11,263,46,68,20,83,23,24,15,298,72,0,0,,,,,,,,,,,,,,,
Tennessee,2019,34,8/24/2019,"1,387","1,253",17,300,47,65,20,85,16,15,16,304,90,0,0,,,,,,,,,,,,,,,
Tennessee,2019,35,8/31/2019,"1,377","1,229",19,283,37,59,11,88,14,18,13,306,58,0,0,,,,,,,,,,,,,,,
Tennessee,2019,36,9/7/2019,"1,369","1,204",21,282,37,56,18,79,15,17,18,324,71,0,0,,,,,,,,,,,,,,,
Tennessee,2019,37,9/14/2019,"1,408","1,262",19,277,41,61,20,104,26,15,,345,65,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Tennessee,2019,38,9/21/2019,"1,391","1,242",19,260,51,45,25,72,24,22,14,340,64,0,0,,,,,,,,,,,,,,,
Tennessee,2019,39,9/28/2019,"1,390","1,253",21,293,44,48,18,90,17,23,13,303,73,0,0,,,,,,,,,,,,,,,
Tennessee,2019,40,10/5/2019,"1,387","1,210",17,274,50,59,19,74,27,18,10,307,64,0,0,,,,,,,,,,,,,,,
Tennessee,2019,41,10/12/2019,"1,365","1,203",24,268,34,51,12,72,21,24,17,295,67,0,0,,,,,,,,,,,,,,,
Tennessee,2019,42,10/19/2019,"1,441","1,294",14,278,49,60,25,81,26,27,22,329,65,0,0,,,,,,,,,,,,,,,
Tennessee,2019,43,10/26/2019,"1,523","1,386",25,307,47,66,24,84,21,20,12,349,84,0,0,,,,,,,,,,,,,,,
Tennessee,2019,44,11/2/2019,"1,372","1,237",14,256,31,57,12,76,11,25,14,322,74,0,0,,,,,,,,,,,,,,,
Tennessee,2019,45,11/9/2019,"1,480","1,331",18,274,46,67,21,74,21,21,14,347,76,0,0,,,,,,,,,,,,,,,
Tennessee,2019,46,11/16/2019,"1,471","1,317",22,252,35,76,26,82,14,23,16,362,79,0,0,,,,,,,,,,,,,,,
Tennessee,2019,47,11/23/2019,"1,498","1,370",16,292,49,81,24,88,24,18,19,332,84,0,0,,,,,,,,,,,,,,,
Tennessee,2019,48,11/30/2019,"1,460","1,312",24,281,38,84,31,91,18,23,15,341,63,0,0,,,,,,,,,,,,,,,
Tennessee,2019,49,12/7/2019,"1,574","1,443",33,279,45,90,38,106,18,25,13,390,87,0,0,,,,,,,,,,,,,,,
Tennessee,2019,50,12/14/2019,"1,549","1,388",22,286,43,71,44,114,29,25,14,349,71,0,0,,,,,,,,,,,,,,,
Tennessee,2019,51,12/21/2019,"1,515","1,379",17,286,40,66,42,96,35,18,15,355,89,0,0,,,,,,,,,,,,,,,
Tennessee,2019,52,12/28/2019,"1,628","1,472",17,317,46,74,46,93,38,28,22,355,85,0,0,,,,,,,,,,,,,,,
Tennessee,2020,1,1/4/2020,"1,612","1,452",29,258,50,70,60,112,26,21,18,385,80,0,0,,,,,,,,,,,,,,,
Tennessee,2020,2,1/11/2020,"1,684","1,544",22,306,47,78,70,119,31,27,27,340,104,0,0,,,,,,,,,,,,,,,
Tennessee,2020,3,1/18/2020,"1,591","1,447",16,279,46,71,47,99,23,31,22,362,83,0,0,,,,,,,,,,,,,,,
